"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","CostOfLivingIndex2023","CostOfLivingIndexGroceryCostsIndex","CostOfLivingIndexHealthCostsIndex","CostOfLivingIndexHousingCostsIndex","CostOfLivingIndexMiscCostsIndex","CostOfLivingIndexTransportationCostsIndex","CostOfLivingIndexUtilityCostsIndex"
"38","North Dakota",11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,94.6,94.6,111.6,84.3,96.9,101.4,101.8
"39","Ohio",287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,94,100.9,96.5,80.1,100.1,97.7,97.2
"40","Oklahoma",59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,86,93.8,91.8,68,91.5,92.3,98.2
"41","Oregon",44.00522,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10256,115.1,107.6,101.4,139.9,105.8,113.6,94
"42","Pennsylvania",289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,99,100.9,96.7,89.9,102,108.2,105.9
"44","Rhode Island",1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,110.5,100.5,107.4,114.6,115.2,98.9,109.7
"45","South Carolina",178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,96.5,100.1,96.7,89.4,99.5,91.6,105.3
"46","South Dakota",12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,93.8,98,97,93.9,93.2,93,87.9
"47","Tennessee",173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,90.4,97.8,88.1,82.9,92.8,90,93.2
"48","Texas",116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,93,94.8,94.1,84.2,95.9,92.6,105.7
"49","Utah",41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,101.5,98.3,90.3,106.5,102.9,100.9,93.5
"50","Vermont",70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,114.9,103.1,106.2,131.4,106.1,115.6,120.8
"51","Virginia",220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,103.1,100.6,102.6,107.7,102.2,96.5,103.6
"53","Washington",117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,115.1,109.7,119.8,129.4,110.8,117.1,92.2
"54","West Virginia",73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,90.3,97.7,97,70.9,99,97.8,94.5
"55","Wisconsin",109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,95,97.9,113.7,84.4,96.7,98.6,102.8
"56","Wyoming",6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,92.8,102,98.6,80.7,99,95.6,85.7
"United States",true,101.2156862745098,101.13921568627454,109.04901960784308,102.47647058823532,102.61176470588238,101.7411764705882
