County,2020,2021,2022
Drew,"42,835","46,141","46,516"
Faulkner,"44,624","47,383","48,161"
Franklin,"35,810","40,598","42,047"
Fulton,"32,534","34,739","34,007"
Garland,"45,130","47,762","48,507"
Grant,"43,066","45,341","45,847"
Greene,"38,993","41,554","41,559"
Hempstead,"35,619","40,520","42,949"
Hot Spring,"34,928","37,551","37,659"
Howard,"36,069","43,359","47,291"
Independence,"38,571","43,048","44,216"
Izard,"32,854","34,443","34,660"
Jackson,"42,060","44,141","45,916"
Jefferson,"38,360","41,301","40,786"
Johnson,"31,868","35,090","35,505"
Lafayette,"40,569","47,346","49,687"
Lawrence,"39,109","40,422","42,271"
Lee,"33,059","39,589","35,818"
Lincoln,"29,553","33,245","33,042"
Little River,"38,061","40,902","41,691"
Logan,"35,622","39,072","40,841"
Lonoke,"45,170","47,982","48,433"
Madison,"35,138","43,025","44,395"
Marion,"33,807","37,115","36,718"
Miller,"37,613","40,433","39,978"
Mississippi,"37,870","45,431","43,455"
Monroe,"39,376","42,735","40,123"
Montgomery,"34,862","37,495","37,923"
Nevada,"35,352","39,114","40,501"
Newton,"35,535","38,339","37,835"
Ouachita,"43,455","46,915","48,100"
Perry,"40,629","43,323","44,265"
Phillips,"40,166","46,476","44,342"
Pike,"35,391","40,466","41,288"
Poinsett,"39,122","43,231","42,536"
Polk,"33,975","37,993","39,652"
Pope,"37,783","41,393","41,693"
Prairie,"40,890","44,301","43,530"
Pulaski,"55,665","60,465","61,575"
Randolph,"37,003","40,175","40,964"
St. Francis,"33,567","36,972","35,659"
Saline,"47,277","51,191","52,328"
Scott,"33,922","37,889","39,895"
Searcy,"31,550","34,618","33,616"
Sebastian,"45,266","47,834","48,381"
Sevier,"35,628","41,789","44,850"
Sharp,"37,085","41,195","43,728"
Stone,"34,072","37,248","36,857"
Union,"50,523","49,854","51,180"
Van Buren,"35,851","39,055","38,450"
Washington,"44,883","48,826","48,785"
White,"40,817","43,223","43,574"
Woodruff,"45,716","50,500","50,313"
Yell,"36,843","41,968","44,030"
,,,
California,"70,061","76,991","77,036"
Alameda,"87,561","98,657","97,754"
Alpine,"74,088","69,869","67,551"
Amador,"47,359","49,980","48,463"
Butte,"51,308","56,011","54,974"
Calaveras,"54,090","56,723","56,001"
Colusa,"56,086","59,102","55,502"
Contra Costa,"86,359","94,834","95,047"
Del Norte,"41,477","44,708","43,677"
El Dorado,"74,197","79,736","82,062"
Fresno,"48,095","51,692","50,549"
Glenn,"49,494","52,251","51,055"
Humboldt,"50,271","54,214","54,043"
Imperial,"45,565","48,228","45,188"
Inyo,"59,712","60,944","61,501"
Kern,"44,490","46,651","44,862"
Kings,"41,185","43,818","42,525"
Lake,"44,016","46,852","45,623"
Lassen,"38,061","41,151","40,700"
Los Angeles,"67,383","73,385","74,142"
Madera,"44,394","47,533","46,406"
Marin,"144,658","165,673","171,177"
Mariposa,"57,215","60,584","61,230"
Mendocino,"52,477","56,701","57,310"
Merced,"44,163","47,574","46,188"
Modoc,"53,072","55,646","56,559"
Mono,"60,401","62,909","65,296"
Monterey,"60,216","64,799","65,123"
Napa,"81,905","87,422","86,863"
Nevada,"66,471","70,883","72,759"
Orange,"75,572","81,567","83,553"
Placer,"74,046","79,711","81,791"
Plumas,"54,643","58,692","59,387"
Riverside,"48,265","51,468","51,415"
Sacramento,"57,243","61,775","61,558"
San Benito,"59,893","62,148","61,693"
San Bernardino,"45,968","49,570","49,270"
San Diego,"67,536","73,350","74,326"
San Francisco,"134,758","159,968","155,819"
San Joaquin,"51,317","55,827","54,183"
San Luis Obispo,"63,024","68,717","67,951"
San Mateo,"141,882","174,668","175,070"
Santa Barbara,"68,801","76,910","75,720"
Santa Clara,"124,637","144,552","144,399"
Santa Cruz,"78,299","88,997","86,365"
Shasta,"51,246","54,546","54,120"
Sierra,"45,192","46,767","47,877"
Siskiyou,"49,301","52,474","51,788"
Solano,"57,029","59,873","58,273"
Sonoma,"71,866","78,558","77,900"
Stanislaus,"48,532","52,130","51,015"
Sutter,"49,536","53,408","52,005"
Tehama,"44,883","47,750","47,315"
Trinity,"33,472","35,204","36,314"
Tulare,"45,523","48,626","47,295"
Tuolumne,"49,653","53,216","52,806"
Ventura,"68,273","74,527","76,375"
Yolo,"60,305","66,308","64,279"
Yuba,"45,680","49,013","48,204"
,,,
Colorado,"64,852","71,923","75,722"
Adams,"48,594","53,185","54,681"
Alamosa,"40,636","43,991","43,071"
Arapahoe,"69,132","72,518","76,304"
Archuleta,"50,707","54,076","55,120"
Baca,"44,958","50,030","45,659"
Bent,"30,401","35,097","32,978"
Boulder,"81,673","93,472","98,553"
Broomfield,"73,540","81,176","86,930"
Chaffee,"56,194","62,699","64,561"
Cheyenne,"45,294","68,712","52,629"
Clear Creek,"68,755","73,090","77,455"
Conejos,"41,165","45,543","43,300"
Costilla,"39,514","41,146","39,571"
Crowley,"22,614","25,050","22,240"
Custer,"47,761","51,005","50,780"
Delta,"42,775","46,231","47,593"
Denver,"86,823","103,180","112,290"
Dolores,"39,242","40,752","38,962"
Douglas,"83,745","90,447","99,168"
Eagle,"88,073","103,440","113,643"
Elbert,"65,795","71,818","76,264"
El Paso,"54,504","59,716","61,076"
Fremont,"38,348","41,902","42,499"
