County,2020,2021,2022
Clark,"48,762","52,120","53,321"
Clay,"40,988","44,962","44,425"
Clinton,"41,550","45,620","46,041"
Crawford,"38,166","41,583","41,391"
Daviess,"48,419","53,843","58,225"
Dearborn,"51,945","56,644","57,660"
Decatur,"47,496","52,172","52,101"
DeKalb,"48,371","54,013","54,957"
Delaware,"41,680","45,087","45,465"
Dubois,"57,951","62,884","65,721"
Elkhart,"49,336","56,465","58,570"
Fayette,"43,942","47,360","47,568"
Floyd,"56,726","59,555","61,081"
Fountain,"45,108","49,947","50,737"
Franklin,"51,070","55,807","55,675"
Fulton,"45,726","49,709","50,077"
Gibson,"50,457","53,942","54,959"
Grant,"42,422","46,964","48,108"
Greene,"45,884","50,263","50,930"
Hamilton,"80,436","89,933","95,757"
Hancock,"55,304","59,088","61,585"
Harrison,"48,601","52,801","54,202"
Hendricks,"53,266","57,743","60,249"
Henry,"42,307","46,087","46,443"
Howard,"43,810","47,388","47,388"
Huntington,"45,097","50,249","51,337"
Jackson,"44,029","48,308","49,379"
Jasper,"50,858","56,179","58,136"
Jay,"42,177","48,826","53,916"
Jefferson,"46,904","50,327","51,433"
Jennings,"44,581","48,764","49,178"
Johnson,"52,360","57,081","59,315"
Knox,"49,319","53,820","54,099"
Kosciusko,"52,076","56,544","57,607"
Lagrange,"44,600","52,797","55,816"
Lake,"47,778","52,471","53,127"
LaPorte,"44,985","49,144","49,992"
Lawrence,"46,721","51,546","52,325"
Madison,"42,202","46,081","46,466"
Marion,"59,825","66,315","66,500"
Marshall,"46,433","51,486","52,624"
Martin,"45,029","49,831","52,671"
Miami,"37,172","40,779","40,333"
Monroe,"48,509","52,696","54,400"
Montgomery,"44,562","49,291","49,943"
Morgan,"47,587","52,275","53,657"
Newton,"45,732","51,110","51,694"
Noble,"43,960","48,780","50,189"
Ohio,"49,337","53,339","54,446"
Orange,"40,546","44,026","45,724"
Owen,"44,409","48,734","49,407"
Parke,"43,531","48,238","50,080"
Perry,"39,659","43,645","44,250"
Pike,"44,606","47,191","47,625"
Porter,"56,244","61,224","63,557"
Posey,"55,526","58,380","59,170"
Pulaski,"49,065","54,017","55,004"
Putnam,"42,481","46,501","47,295"
Randolph,"43,306","50,836","51,450"
Ripley,"46,017","50,708","50,456"
Rush,"48,831","54,845","55,087"
St. Joseph,"50,076","55,326","56,688"
Scott,"41,138","44,254","44,229"
Shelby,"47,164","51,575","52,401"
Spencer,"49,103","53,725","54,253"
Starke,"38,021","41,917","41,967"
Steuben,"48,261","53,605","54,649"
Sullivan,"39,032","43,276","43,134"
Switzerland,"38,785","41,531","41,606"
Tippecanoe,"42,526","46,246","47,398"
Tipton,"48,954","51,621","51,703"
Union,"43,886","48,718","48,664"
Vanderburgh,"50,628","55,389","56,585"
Vermillion,"42,418","45,860","45,773"
Vigo,"42,200","45,793","45,975"
Wabash,"46,262","51,720","52,006"
Warren,"48,475","52,936","53,430"
Warrick,"61,644","66,353","68,264"
Washington,"42,808","47,813","49,637"
Wayne,"45,287","49,075","49,570"
Wells,"45,983","50,851","51,343"
White,"47,244","52,011","52,633"
Whitley,"49,743","53,858","55,193"
,,,
Iowa,"52,586","58,049","60,222"
Adair,"53,544","64,783","67,668"
Adams,"52,390","64,345","67,657"
Allamakee,"48,637","53,536","55,015"
Appanoose,"42,785","47,001","47,779"
Audubon,"51,290","64,561","69,105"
Benton,"55,725","63,400","69,430"
Black Hawk,"49,252","52,431","53,471"
Boone,"49,639","53,520","54,062"
Bremer,"52,852","57,634","59,542"
Buchanan,"50,957","57,628","60,057"
Buena Vista,"44,294","49,269","54,341"
Butler,"48,423","57,331","60,085"
Calhoun,"49,148","59,532","64,280"
Carroll,"54,473","60,497","64,755"
Cass,"49,689","56,698","59,063"
Cedar,"55,521","62,671","65,324"
Cerro Gordo,"52,333","61,338","67,777"
Cherokee,"54,212","67,753","83,241"
Chickasaw,"56,429","73,064","89,185"
Clarke,"42,831","45,760","48,316"
Clay,"53,601","59,372","61,974"
Clayton,"54,208","60,701","64,520"
Clinton,"47,396","51,474","52,629"
Crawford,"44,377","52,996","54,711"
Dallas,"70,783","76,813","79,938"
Davis,"40,207","45,895","51,702"
Decatur,"39,004","43,444","44,532"
Delaware,"51,953","57,849","60,949"
Des Moines,"53,868","58,622","60,617"
Dickinson,"62,621","71,287","74,159"
Dubuque,"52,804","58,027","60,090"
Emmet,"44,636","51,398","54,119"
Fayette,"45,853","50,665","52,666"
Floyd,"48,695","56,206","59,242"
Franklin,"48,951","61,597","65,001"
Fremont,"53,107","61,317","62,532"
Greene,"50,930","59,990","61,809"
Grundy,"54,358","62,645","65,201"
Guthrie,"57,727","65,315","68,017"
Hamilton,"49,508","58,746","63,592"
Hancock,"50,960","61,665","66,602"
Hardin,"48,765","61,183","68,981"
Harrison,"48,510","55,926","58,283"
Henry,"45,115","49,339","50,108"
Howard,"49,253","59,877","63,152"
Humboldt,"50,063","57,179","60,563"
Ida,"54,393","68,789","76,977"
Iowa,"54,833","59,734","60,646"
Jackson,"48,820","53,974","55,537"
Jasper,"45,513","50,197","50,521"
Jefferson,"48,566","53,380","54,979"
Johnson,"56,435","60,934","62,302"
Jones,"47,422","52,356","53,581"
Keokuk,"47,919","54,532","55,331"
Kossuth,"51,038","63,200","66,517"
Lee,"46,428","49,412","49,927"
Linn,"55,321","59,685","60,928"
Louisa,"46,612","51,581","52,933"
Lucas,"44,635","48,360","49,289"
Lyon,"56,584","65,527","71,805"
Madison,"52,843","57,314","58,339"
Mahaska,"45,319","50,087","51,311"
Marion,"52,773","57,927","59,714"
Marshall,"45,331","48,899","48,756"
Mills,"61,390","67,227","70,833"
Mitchell,"57,415","75,311","96,075"
Monona,"47,254","57,226","60,488"
Monroe,"49,359","53,781","54,947"
Montgomery,"43,668","48,838","50,343"
Muscatine,"50,498","53,470","54,297"
O'Brien,"54,017","60,762","64,968"
Osceola,"47,474","57,362","65,405"
Page,"45,473","52,360","53,235"
Palo Alto,"47,537","58,036","65,080"
Plymouth,"56,546","63,028","67,398"
Pocahontas,"47,797","59,043","63,470"
Polk,"57,284","61,908","62,653"
Pottawattamie,"47,560","51,378","52,369"
Poweshiek,"47,469","53,043","56,228"
Ringgold,"49,644","57,890","57,345"
Sac,"54,394","67,441","77,933"
Scott,"56,697","61,380","63,064"
Shelby,"52,680","63,076","66,542"
Sioux,"54,447","59,185","67,349"
Story,"44,838","48,421","49,748"
Tama,"48,887","56,917","57,918"
Taylor,"45,769","55,629","57,591"
Union,"43,427","49,179","50,034"
Van Buren,"41,122","47,167","47,996"
Wapello,"42,489","45,210","45,795"
Warren,"54,580","59,397","60,515"
Washington,"58,654","71,324","78,929"
Wayne,"44,373","52,356","53,155"
Webster,"46,570","51,407","53,508"
Winnebago,"43,900","51,433","55,013"
Winneshiek,"54,221","59,174","61,042"
Woodbury,"46,199","49,822","51,029"
Worth,"44,664","53,655","55,418"
Wright,"47,067","57,903","70,420"
,,,
Kansas,"55,041","58,569","60,424"
Allen,"44,503","48,367","46,726"
Anderson,"44,783","54,564","47,195"
Atchison,"41,948","44,558","42,910"
Barber,"49,767","54,329","50,519"
Barton,"50,775","53,073","55,270"
Bourbon,"45,170","48,308","49,749"
Brown,"48,624","51,797","47,205"
Butler,"50,073","52,247","53,632"
Chase,"57,674","60,498","59,348"
Chautauqua,"41,423","43,868","41,861"
Cherokee,"47,248","51,304","52,464"
Cheyenne,"55,686","66,687","54,530"
Clark,"57,388","55,860","58,135"
Clay,"47,226","52,127","47,517"
Cloud,"44,388","47,564","44,536"
Coffey,"57,129","59,522","55,623"
Comanche,"46,115","50,363","43,400"
Cowley,"41,969","43,483","43,664"
Crawford,"43,056","45,203","45,340"
Decatur,"54,034","57,957","60,732"
Dickinson,"46,165","49,309","47,397"
Doniphan,"46,521","51,252","47,117"
Douglas,"48,676","51,852","52,799"
Edwards,"60,719","69,453","58,536"
Elk,"40,883","43,195","39,811"
Ellis,"50,940","54,414","56,016"
Ellsworth,"44,864","48,229","45,694"
Finney,"45,041","48,330","49,645"
Ford,"44,324","47,093","47,179"
Franklin,"46,103","49,244","48,375"
Geary,"47,866","50,749","50,324"
Gove,"64,608","80,922","72,994"
Graham,"54,595","61,443","51,368"
Grant,"44,558","45,691","40,684"
Gray,"66,495","66,373","65,914"
Greeley,"86,809","100,968","88,148"
Greenwood,"46,327","47,809","42,891"
Hamilton,"75,761","72,859","79,482"
Harper,"56,357","60,523","58,307"
Harvey,"47,458","50,317","50,772"
Haskell,"66,122","73,925","59,322"
Hodgeman,"65,243","67,197","62,195"
Jackson,"46,818","50,394","49,154"
Jefferson,"50,114","53,748","53,560"
Jewell,"55,310","62,428","46,694"
Johnson,"79,088","83,008","90,503"
Kearny,"58,493","62,102","55,390"
Kingman,"48,941","53,186","49,785"
Kiowa,"51,374","55,693","43,681"
Labette,"45,584","47,777","47,816"
Lane,"73,604","79,716","71,071"
Leavenworth,"46,924","49,410","50,002"
Lincoln,"52,705","52,610","47,223"
Linn,"45,412","47,555","45,751"
Logan,"59,476","66,462","59,864"
Lyon,"44,176","46,871","46,789"
McPherson,"54,911","57,500","57,557"
Marion,"46,345","48,660","45,002"
Marshall,"47,599","50,423","45,513"
Meade,"67,492","76,618","69,285"
Miami,"54,189","58,344","59,222"
Mitchell,"69,152","68,490","63,466"
Montgomery,"40,393","43,372","43,912"
Morris,"50,099","52,176","49,627"
Morton,"48,720","56,565","40,869"
Nemaha,"58,366","61,428","59,052"
Neosho,"43,760","46,270","45,486"
Ness,"60,930","68,014","60,994"
Norton,"48,640","53,018","51,832"
Osage,"46,897","49,947","48,581"
Osborne,"51,456","56,887","49,275"
Ottawa,"46,289","51,194","48,942"
Pawnee,"45,689","49,260","43,956"
Phillips,"57,768","66,420","60,487"
Pottawatomie,"56,879","60,383","61,738"
Pratt,"52,106","56,892","53,260"
Rawlins,"66,530","79,578","76,456"
Reno,"45,508","47,483","47,727"
Republic,"48,158","52,839","46,289"
Rice,"47,651","49,625","48,402"
Riley,"45,640","48,851","50,261"
Rooks,"46,030","49,653","43,120"
Rush,"57,665","63,195","51,940"
Russell,"50,134","54,598","52,834"
Saline,"51,212","55,070","56,999"
Scott,"59,967","62,799","61,365"
Sedgwick,"53,098","57,356","59,772"
Seward,"42,190","45,745","47,415"
Shawnee,"50,511","53,830","55,466"
Sheridan,"57,053","58,169","56,637"
Sherman,"49,553","55,032","51,638"
Smith,"55,927","64,222","54,221"
Stafford,"49,755","51,809","47,665"
Stanton,"84,155","90,913","77,840"
Stevens,"50,025","54,888","50,696"
Sumner,"43,866","47,378","45,475"
Thomas,"49,970","55,220","54,673"
Trego,"56,100","60,865","53,707"
Wabaunsee,"53,796","56,877","55,871"
Wallace,"60,126","63,589","53,062"
Washington,"52,862","55,467","47,050"
Wichita,"60,209","58,834","54,687"
Wilson,"45,033","49,202","47,414"
Woodson,"42,827","45,866","39,243"
Wyandotte,"36,191","38,363","38,253"
,,,
Kentucky,"47,026","51,561","51,921"
Adair,"37,567","41,143","40,549"
Allen,"37,202","40,488","40,895"
Anderson,"41,572","45,387","45,566"
Ballard,"44,472","49,783","49,784"
Barren,"40,063","43,554","42,779"
Bath,"34,438","37,846","37,167"
Bell,"36,979","40,554","39,665"
Boone,"53,533","57,549","58,730"
Bourbon,"50,337","56,182","57,191"
Boyd,"42,757","46,202","45,945"
Boyle,"42,176","45,389","45,282"
Bracken,"41,801","44,575","43,677"
Breathitt,"34,940","38,890","38,326"
Breckinridge,"38,155","42,471","41,519"
Bullitt,"46,371","50,450","51,198"
Butler,"39,207","43,988","43,098"
Caldwell,"40,285","45,161","44,661"
Calloway,"42,030","44,871","43,984"
Campbell,"54,457","60,170","61,635"
Carlisle,"46,119","54,056","53,759"
Carroll,"41,046","45,169","46,390"
Carter,"35,782","39,157","38,473"
Casey,"36,560","40,176","39,572"
Christian,"40,914","44,728","42,881"
Clark,"43,653","47,818","47,562"
Clay,"34,708","38,722","37,992"
Clinton,"40,004","43,424","43,607"
Crittenden,"38,425","42,516","41,566"
Cumberland,"47,037","50,269","49,499"
Daviess,"46,351","49,792","49,179"
Edmonson,"37,353","40,370","39,810"
Elliott,"26,929","28,564","27,403"
Estill,"36,666","39,731","38,999"
Fayette,"55,601","58,570","59,641"
Fleming,"38,553","41,131","40,378"
Floyd,"39,189","43,160","43,435"
Franklin,"45,866","49,432","49,471"
Fulton,"35,395","41,459","41,030"
Gallatin,"38,876","43,124","43,018"
Garrard,"40,919","43,508","43,552"
Grant,"41,639","45,803","45,551"
Graves,"43,031","48,525","50,193"
Grayson,"39,021","42,057","41,583"
Green,"40,202","42,242","40,688"
Greenup,"44,186","47,354","47,623"
Hancock,"40,996","49,540","53,953"
Hardin,"48,025","52,412","52,724"
Harlan,"34,123","38,007","37,712"
Harrison,"41,539","43,471","42,585"
Hart,"37,044","40,199","39,663"
Henderson,"45,039","49,595","48,905"
Henry,"44,986","49,400","49,517"
Hickman,"41,805","53,695","56,507"
Hopkins,"42,193","46,453","46,836"
Jackson,"35,150","37,453","36,774"
Jefferson,"56,306","63,117","64,075"
Jessamine,"51,766","57,061","58,177"
Johnson,"36,100","39,389","39,254"
Kenton,"61,264","68,327","69,498"
Knott,"36,756","41,076","40,743"
Knox,"34,963","38,425","37,196"
Larue,"40,560","43,587","42,444"
Laurel,"37,353","41,100","40,398"
Lawrence,"34,586","37,852","37,953"
Lee,"32,152","35,022","34,518"
Leslie,"35,071","39,156","38,900"
Letcher,"35,490","39,431","39,260"
Lewis,"36,250","39,659","38,189"
Lincoln,"37,259","40,185","40,008"
Livingston,"44,001","45,864","45,791"
Logan,"40,156","45,313","44,262"
Lyon,"38,665","42,738","39,712"
McCracken,"51,037","57,198","58,253"
McCreary,"31,173","35,636","34,058"
McLean,"41,143","49,120","51,396"
Madison,"40,444","44,092","44,350"
Magoffin,"38,786","42,114","41,338"
Marion,"40,521","44,091","43,553"
Marshall,"45,603","48,096","48,444"
Martin,"32,706","32,500","31,956"
Mason,"43,833","49,224","48,132"
Meade,"42,902","47,011","46,812"
Menifee,"37,480","40,555","39,714"
Mercer,"39,267","43,489","44,293"
Metcalfe,"34,412","37,814","36,557"
Monroe,"39,731","43,913","44,662"
Montgomery,"39,862","42,600","42,403"
Morgan,"30,828","33,802","31,709"
Muhlenberg,"36,600","40,806","40,189"
Nelson,"48,163","52,944","53,328"
Nicholas,"37,668","39,933","39,341"
Ohio,"36,012","39,449","40,086"
Oldham,"67,763","74,104","76,988"
Owen,"36,300","40,100","39,525"
Owsley,"40,959","45,763","45,178"
Pendleton,"46,466","50,786","51,545"
Perry,"39,236","43,103","43,108"
Pike,"39,793","43,101","43,566"
Powell,"34,696","37,615","37,380"
Pulaski,"42,593","46,622","46,059"
Robertson,"38,891","40,988","39,346"
Rockcastle,"37,490","40,166","39,538"
Rowan,"34,742","37,697","37,407"
Russell,"41,984","47,186","50,836"
Scott,"48,133","51,804","52,623"
Shelby,"50,857","55,778","56,480"
Simpson,"40,588","44,315","43,164"
Spencer,"51,067","54,584","56,264"
Taylor,"39,067","41,061","39,822"
Todd,"41,023","47,402","47,258"
Trigg,"42,819","46,060","44,456"
Trimble,"44,055","47,971","48,335"
Union,"42,602","50,908","48,850"
Warren,"41,280","44,889","46,117"
Washington,"42,690","45,655","45,188"
Wayne,"34,551","38,046","36,768"
Webster,"41,056","47,383","49,417"
Whitley,"39,250","42,490","42,174"
Wolfe,"39,180","44,703","43,814"
Woodford,"54,791","60,593","62,468"
,,,
Louisiana,"50,243","54,531","54,501"
Acadia,"43,949","46,156","45,671"
Allen,"41,541","42,685","42,506"
Ascension,"55,802","59,430","60,401"
Assumption,"51,882","56,906","55,758"
Avoyelles,"42,720","45,358","43,997"
Beauregard,"47,287","50,171","50,503"
Bienville,"42,610","45,454","45,148"
Bossier,"48,586","52,287","53,254"
Caddo,"54,770","57,457","57,648"
Calcasieu,"46,741","51,485","51,528"
Caldwell,"39,014","41,175","39,823"
Cameron,"58,070","63,673","62,996"
Catahoula,"41,008","44,596","43,187"
Claiborne,"40,776","43,244","44,015"
Concordia,"39,931","42,566","41,772"
De Soto,"47,361","52,201","53,134"
East Baton Rouge,"55,045","60,054","59,982"
East Carroll,"34,664","39,065","36,012"
East Feliciana,"44,128","47,369","47,049"
Evangeline,"38,488","40,588","40,227"
Franklin,"37,497","40,432","38,874"
Grant,"35,084","37,319","37,371"
Iberia,"42,131","46,671","45,133"
Iberville,"48,753","53,525","52,199"
Jackson,"39,063","41,899","42,143"
Jefferson,"54,778","58,750","58,692"
Jefferson Davis,"45,806","46,875","48,472"
Lafayette,"54,100","59,325","58,963"
Lafourche,"45,827","51,350","52,324"
LaSalle,"36,817","37,835","37,415"
Lincoln,"42,019","46,908","47,336"
Livingston,"45,942","48,549","49,173"
Madison,"40,147","44,013","42,276"
Morehouse,"41,084","43,987","42,516"
Natchitoches,"44,180","48,022","49,209"
Orleans,"55,577","62,529","61,623"
Ouachita,"43,602","46,926","46,982"
Plaquemines,"51,198","55,422","55,606"
Pointe Coupee,"53,594","58,848","57,183"
Rapides,"49,889","53,495","53,886"
Red River,"49,727","53,791","54,295"
Richland,"42,760","45,016","44,221"
Sabine,"41,561","45,073","46,947"
St. Bernard,"39,309","42,345","41,861"
St. Charles,"52,667","56,796","57,667"
St. Helena,"45,302","47,272","45,131"
St. James,"57,383","63,816","62,685"
St. John the Baptist,"44,015","46,310","45,723"
St. Landry,"45,077","47,852","47,611"
St. Martin,"42,485","46,190","44,910"
St. Mary,"44,257","48,637","46,797"
St. Tammany,"65,486","72,939","73,697"
Tangipahoa,"43,882","47,748","47,512"
Tensas,"44,208","51,503","47,240"
Terrebonne,"45,377","48,195","48,629"
Union,"44,103","47,052","48,882"
Vermilion,"44,005","47,496","46,867"
Vernon,"44,507","47,689","47,558"
Washington,"39,371","41,881","41,376"
Webster,"45,731","49,635","49,707"
West Baton Rouge,"51,626","54,767","54,895"
West Carroll,"41,580","42,736","41,276"
West Feliciana,"42,183","45,329","45,693"
Winn,"43,365","46,528","47,514"
,,,
Maine,"54,301","58,687","60,599"
Androscoggin,"45,865","48,186","49,055"
Aroostook,"46,791","49,913","50,915"
Cumberland,"68,583","74,836","78,012"
Franklin,"43,676","45,839","47,120"
Hancock,"55,551","61,049","63,357"
Kennebec,"50,123","54,056","55,361"
Knox,"55,815","59,336","61,897"
Lincoln,"54,689","59,193","61,524"
Oxford,"42,791","45,799","46,450"
Penobscot,"47,264","50,753","51,998"
Piscataquis,"45,626","49,034","49,863"
Sagadahoc,"54,540","59,874","62,568"
Somerset,"43,319","46,752","47,306"
Waldo,"47,866","51,915","54,714"
Washington,"46,121","48,771","49,500"
York,"57,737","62,833","65,074"
,,,
Maryland,"64,825","69,052","70,228"
Allegany,"45,121","47,424","46,293"
Anne Arundel,"72,194","76,926","78,889"
Baltimore,"63,845","67,320","67,818"
Calvert,"67,104","68,977","70,717"
Caroline,"47,856","53,563","55,490"
Carroll,"65,131","69,738","71,235"
Cecil,"52,796","55,399","56,050"
Charles,"59,941","62,069","62,942"
Dorchester,"49,325","55,388","55,772"
Frederick,"65,495","69,851","72,151"
Garrett,"49,002","53,384","52,923"
Harford,"62,146","66,172","67,473"
Howard,"81,308","86,602","88,927"
Kent,"63,055","69,001","69,715"
Montgomery,"85,373","91,042","93,395"
Prince George's,"50,197","53,317","52,756"
Queen Anne's,"71,124","77,927","79,866"
St. Mary's,"62,459","65,118","66,146"
Somerset,"32,523","36,846","38,480"
Talbot,"78,636","85,781","88,449"
Washington,"49,195","53,049","53,382"
Wicomico,"42,951","46,559","46,153"
Worcester,"59,037","64,601","64,486"
Baltimore City,"54,125","58,435","59,807"
,,,
Massachusetts,"77,393","83,461","84,561"
Barnstable,"79,606","83,891","85,317"
Berkshire,"61,119","64,444","64,758"
Bristol,"60,325","63,996","64,103"
Dukes,"84,852","85,929","87,621"
Essex,"71,952","77,593","78,205"
Franklin,"60,460","62,928","62,944"
Hampden,"57,736","60,710","60,312"
Hampshire,"63,522","59,264","59,802"
Middlesex,"90,955","99,416","101,729"
Nantucket,"93,597","101,412","103,033"
Norfolk,"95,831","105,984","109,284"
Plymouth,"74,093","79,053","80,062"
Suffolk,"87,433","97,172","96,933"
Worcester,"61,287","64,477","64,829"
,,,
Michigan,"52,786","56,601","57,038"
Alcona,"46,209","49,942","49,420"
Alger,"38,423","41,982","41,171"
Allegan,"49,943","54,227","54,948"
Alpena,"44,783","48,558","48,633"
Antrim,"51,960","56,378","56,234"
Arenac,"44,632","47,387","46,696"
Baraga,"38,448","40,312","39,740"
Barry,"49,305","53,016","54,157"
Bay,"47,030","50,367","49,667"
Benzie,"52,454","54,451","54,784"
Berrien,"53,645","59,719","60,311"
Branch,"40,186","43,064","43,040"
Calhoun,"43,593","45,582","44,904"
Cass,"50,306","54,661","54,937"
Charlevoix,"58,198","64,617","66,669"
Cheboygan,"45,511","47,642","46,687"
Chippewa,"39,605","43,800","42,667"
Clare,"39,625","41,227","40,146"
Clinton,"51,423","55,662","56,814"
Crawford,"41,680","43,337","41,537"
Delta,"43,631","46,144","44,577"
Dickinson,"50,727","56,024","54,831"
Eaton,"47,613","50,778","50,934"
Emmet,"62,269","68,593","70,109"
Genesee,"45,384","48,161","47,564"
Gladwin,"42,362","44,172","43,701"
Gogebic,"45,369","47,670","47,559"
Grand Traverse,"55,639","61,155","62,089"
Gratiot,"41,458","43,946","43,159"
Hillsdale,"39,728","42,728","41,987"
Houghton,"39,927","42,771","42,862"
Huron,"51,614","56,462","56,230"
Ingham,"46,267","51,634","49,577"
Ionia,"37,681","40,862","40,963"
Iosco,"43,594","46,509","45,770"
Iron,"46,460","48,893","47,997"
Isabella,"43,262","45,590","44,825"
Jackson,"43,423","46,886","46,409"
Kalamazoo,"54,818","58,792","59,619"
Kalkaska,"40,973","43,477","42,182"
Kent,"59,254","65,315","66,975"
Keweenaw,"54,033","55,497","54,933"
Lake,"37,856","38,712","36,434"
Lapeer,"48,910","50,739","50,575"
Leelanau,"73,012","79,109","81,805"
Lenawee,"44,325","47,513","47,538"
Livingston,"62,417","67,212","69,299"
Luce,"40,368","43,331","42,206"
Mackinac,"49,480","52,639","52,074"
Macomb,"50,883","53,727","53,817"
Manistee,"43,321","46,167","45,533"
Marquette,"44,162","47,987","46,466"
Mason,"45,625","48,399","47,049"
Mecosta,"40,832","44,121","42,483"
Menominee,"44,375","47,679","47,289"
Midland,"56,589","60,150","60,842"
Missaukee,"41,073","44,053","43,667"
Monroe,"49,721","52,634","52,998"
Montcalm,"37,785","40,752","40,725"
Montmorency,"42,569","43,429","41,440"
Muskegon,"43,376","46,019","45,571"
Newaygo,"41,767","44,607","44,140"
Oakland,"76,404","81,822","84,850"
Oceana,"42,975","45,596","44,970"
Ogemaw,"39,412","42,417","41,120"
Ontonagon,"44,613","46,981","46,661"
Osceola,"42,881","45,088","44,549"
Oscoda,"37,402","40,879","40,566"
Otsego,"45,759","49,550","48,201"
Ottawa,"53,553","59,069","61,018"
Presque Isle,"44,900","46,911","46,239"
Roscommon,"42,735","44,507","43,813"
Saginaw,"45,686","48,577","47,700"
St. Clair,"49,920","52,388","52,557"
St. Joseph,"42,894","47,116","46,935"
Sanilac,"43,832","46,897","46,189"
Schoolcraft,"45,316","47,491","44,401"
Shiawassee,"44,642","47,595","47,427"
Tuscola,"41,683","44,605","43,797"
Van Buren,"46,525","49,479","49,542"
Washtenaw,"64,606","69,892","71,368"
Wayne,"46,416","49,009","48,509"
Wexford,"41,631","44,683","43,862"
,,,
Minnesota,"61,278","66,846","68,840"
Aitkin,"46,769","50,228","49,907"
Anoka,"55,673","59,002","60,371"
Becker,"51,352","56,258","57,505"
Beltrami,"47,070","51,023","50,351"
Benton,"49,656","53,384","54,255"
Big Stone,"57,554","65,566","70,199"
Blue Earth,"48,273","51,478","52,838"
Brown,"56,786","60,005","62,169"
Carlton,"46,736","49,897","50,247"
Carver,"75,745","82,905","87,095"
Cass,"50,831","57,731","55,921"
Chippewa,"48,306","54,013","56,075"
Chisago,"53,893","57,659","58,812"
Clay,"46,496","50,745","50,963"
Clearwater,"51,331","54,418","53,431"
Cook,"55,152","57,393","56,795"
Cottonwood,"54,103","58,588","63,158"
Crow Wing,"48,945","54,674","52,837"
Dakota,"63,327","67,665","69,984"
Dodge,"52,442","58,319","59,029"
Douglas,"55,797","61,045","62,524"
Faribault,"47,749","54,044","55,751"
Fillmore,"49,719","53,993","55,598"
Freeborn,"48,796","54,069","55,377"
Goodhue,"56,574","61,067","64,004"
Grant,"53,891","57,464","62,120"
Hennepin,"77,672","86,466","89,851"
Houston,"54,952","58,340","60,012"
Hubbard,"56,054","59,550","58,593"
Isanti,"49,420","52,118","52,421"
Itasca,"48,304","51,428","51,540"
Jackson,"57,918","61,343","63,573"
Kanabec,"49,141","51,166","49,855"
Kandiyohi,"53,706","57,707","59,505"
Kittson,"61,578","66,962","70,075"
Koochiching,"47,452","50,426","52,953"
Lac qui Parle,"56,610","63,800","69,224"
Lake,"48,975","53,448","53,022"
Lake of the Woods,"56,985","59,741","59,614"
Le Sueur,"54,860","59,388","60,691"
Lincoln,"50,715","57,383","60,496"
Lyon,"54,014","58,409","60,291"
McLeod,"52,260","56,852","57,593"
Mahnomen,"41,450","47,862","48,646"
Marshall,"65,146","72,553","75,929"
Martin,"54,004","60,366","62,814"
Meeker,"48,659","52,947","54,758"
Mille Lacs,"47,943","50,859","51,382"
Morrison,"46,998","50,615","51,545"
Mower,"50,841","52,709","53,835"
Murray,"61,289","63,830","67,739"
Nicollet,"52,901","56,401","57,972"
Nobles,"51,209","54,238","56,111"
Norman,"49,668","58,749","59,759"
Olmsted,"61,338","66,122","67,547"
Otter Tail,"52,985","55,912","56,751"
Pennington,"59,311","65,236","66,187"
Pine,"42,853","46,100","45,189"
Pipestone,"56,510","63,518","67,463"
Polk,"53,411","59,211","58,902"
Pope,"56,394","61,404","63,742"
Ramsey,"57,421","63,856","65,358"
Red Lake,"57,302","68,711","73,275"
Redwood,"59,845","68,997","74,117"
Renville,"55,169","62,335","64,443"
Rice,"48,029","52,411","53,548"
Rock,"55,672","57,570","61,054"
Roseau,"53,534","60,501","61,228"
St. Louis,"50,553","55,626","56,572"
Scott,"65,678","71,730","75,427"
Sherburne,"52,264","55,846","57,102"
Sibley,"53,591","58,016","59,859"
Stearns,"54,121","58,117","59,296"
Steele,"50,087","55,493","54,862"
Stevens,"55,108","59,873","65,210"
Swift,"52,260","59,464","66,769"
Todd,"43,567","54,237","55,702"
Traverse,"66,746","75,016","85,621"
Wabasha,"55,911","59,810","60,826"
Wadena,"43,551","47,138","46,673"
Waseca,"46,760","53,283","54,858"
Washington,"71,110","76,380","79,814"
Watonwan,"49,424","55,211","57,027"
Wilkin,"57,343","67,295","70,544"
Winona,"54,757","55,687","57,508"
Wright,"56,703","60,392","62,559"
Yellow Medicine,"60,894","62,577","66,190"
,,,
Mississippi,"42,513","46,577","46,370"
Adams,"39,569","45,648","45,499"
Alcorn,"41,748","44,193","44,977"
Amite,"34,858","38,598","38,352"
Attala,"39,490","42,979","42,974"
Benton,"38,670","42,160","41,473"
Bolivar,"41,886","48,200","46,870"
Calhoun,"39,742","43,053","40,370"
Carroll,"41,184","45,259","43,091"
Chickasaw,"38,361","40,938","38,994"
Choctaw,"37,531","41,494","40,869"
Claiborne,"34,072","37,283","34,993"
Clarke,"40,434","42,889","42,841"
Clay,"42,715","47,800","47,654"
Coahoma,"41,240","46,482","43,389"
Copiah,"36,560","39,628","39,091"
Covington,"39,401","44,187","44,781"
DeSoto,"47,190","51,890","52,264"
Forrest,"40,128","42,985","42,294"
Franklin,"38,871","40,662","40,035"
George,"37,810","39,462","38,730"
Greene,"31,376","33,441","32,650"
Grenada,"38,849","43,251","42,556"
