,STNAME,CTYNAME,white_perc,baa_perc,asian_perc,native_perc,pi_perc,his_perc
0,Alabama,Autauga,0.7671815124081728,0.2251543700530464,0.01703509094864372,0.010425207918472531,0.0021921384226643685,0.033819173680951824
1,Alabama,Baldwin,0.8936555278268103,0.09455637389169558,0.01724592691784852,0.017071438716091465,0.002414429768498793,0.05036216446527482
2,Alabama,Barbour,0.5048975957257347,0.4887881486278637,0.007407107585201975,0.013599935238403627,0.004047599773334413,0.0509997571440136
3,Alabama,Bibb,0.7783231083844581,0.2188593501476937,0.004953419677346057,0.011724608043626449,0.001954101340604408,0.031765507839127474
4,Alabama,Blount,0.9674687457991665,0.025608280682887483,0.006603710176098938,0.013997177039924721,0.0019491867186449791,0.10070237935206344
5,Alabama,Bullock,0.29249166830033324,0.6943736522250539,0.005195059792197608,0.014604979415800823,0.008429719662811214,0.09351107625955694
6,Alabama,Butler,0.532171581769437,0.4542091152815013,0.0167828418230563,0.009865951742627346,0.00128686327077748,0.018284182305630028
7,Alabama,Calhoun,0.7593878467544133,0.23672574014578368,0.01376653884685805,0.012721525546688777,0.0024613949632086227,0.04345009845579853
8,Alabama,Chambers,0.5831377610889462,0.410291011499648,0.016310725181882188,0.013582492372682468,0.0062191973715090354,0.03593639990612532
9,Alabama,Cherokee,0.9451821990356494,0.04932416409769979,0.006402655916528338,0.017073749110742234,0.0016994703975970278,0.020828393012410087
10,Alabama,Chilton,0.8842080027896434,0.1104524452968355,0.0070176968006276695,0.011463691046988057,0.0027024670909249413,0.08473541975416267
11,Alabama,Choctaw,0.5838089878607605,0.4169145429696921,0.00466275424069459,0.005145108127662995,0.0003215692579789372,0.012460808746683818
12,Alabama,Clarke,0.5355540750610704,0.4582278481012658,0.00657339551410171,0.010215411947590495,0.0011992005329780147,0.01594492560515212
13,Alabama,Clay,0.8510353570925483,0.15304972531342442,0.00471897450345119,0.012325679673193408,0.0010564868291308635,0.03183546978447669
14,Alabama,Cleburne,0.9609018636778314,0.04150918806203571,0.004626612798123289,0.009253225596246578,0.0018245796950345367,0.026130587775316044
15,Alabama,Coffee,0.7891433263388377,0.18686251254447586,0.027533984125535992,0.02705957485630873,0.006313292582793541,0.09053918438098714
16,Alabama,Colbert,0.8264435752072097,0.17102338324746266,0.009856460979098099,0.015318870297933935,0.001412989161339238,0.03522133958265125
17,Alabama,Conecuh,0.5315009816169909,0.4676066393003748,0.00910226664286989,0.018739960735320364,0.0048188470462252365,0.03337497769052294
18,Alabama,Coosa,0.6975211489277986,0.2974621286641747,0.004524886877828055,0.01583710407239819,0.0024591776509935077,0.02803462522132599
19,Alabama,Covington,0.8565235891707887,0.13908834636455508,0.00866975160895697,0.015956598053295037,0.0019413860964842295,0.021435030051593
20,Alabama,Crenshaw,0.741190019193858,0.2507485604606526,0.018502879078694818,0.014971209213051824,0.0028406909788867563,0.028637236084452976
21,Alabama,Cullman,0.9706391661611427,0.018926818507693156,0.008790602768433244,0.014768653835548448,0.0014007610434015332,0.04798985275464623
22,Alabama,Dale,0.7563378007427741,0.23211690618440176,0.02145567576295818,0.01961892459228161,0.003956079444534151,0.07334894235427095
23,Alabama,Dallas,0.2820192020017951,0.7136834661517122,0.007044360431909049,0.006201213044306035,0.0009791389017325318,0.012184839666004841
24,Alabama,DeKalb,0.9466374065946276,0.026403511208644686,0.007236312119781105,0.03712603127864663,0.006819633878718853,0.15992110891969222
25,Alabama,Elmore,0.7643669819010083,0.2301731741902348,0.011433292765985955,0.011120663666916025,0.0019985931690541855,0.03179884550539844
26,Alabama,Escambia,0.6478481426935035,0.32228767795778107,0.006572846779032346,0.04819178530518737,0.0019363988436153384,0.026536846124474992
27,Alabama,Etowah,0.82587692068912,0.1638115008536396,0.011262222567127115,0.015200605308086295,0.004151792643178644,0.04773591494645352
28,Alabama,Fayette,0.876039210820201,0.12476734086114903,0.007569177317285023,0.010112917235389006,0.00043429705918848494,0.020349919344831865
29,Alabama,Franklin,0.9293811850181636,0.054428159839659276,0.0059501440561192534,0.026462482775898785,0.003006388575723412,0.1921896530126519
30,Alabama,Geneva,0.8885113691520741,0.10491729828622634,0.007915468767501774,0.022402270096703134,0.0019415300750476048,0.04898629727812418
31,Alabama,Greene,0.19401778496362165,0.8036917272972245,0.005793586634330369,0.009431420102398275,0.0014820803018054433,0.021827000808407437
32,Alabama,Hale,0.4195272353545735,0.5764302843439534,0.0050017129153819805,0.007057211373758136,0.0009592326139088729,0.01616992120589243
33,Alabama,Henry,0.7418295100538091,0.2562446898895497,0.008609459076748796,0.011838006230529595,0.0010195412064570944,0.026961200792976495
34,Alabama,Houston,0.7017274401132505,0.28929764339048286,0.016700746676042523,0.013823221902497247,0.002359385264482462,0.03895298809204378
35,Alabama,Jackson,0.9410485715906298,0.0439961430110983,0.008337902478682574,0.034788527348698264,0.002023028492560171,0.03482634096538163
36,Alabama,Jefferson,0.539044407274323,0.4447535275296848,0.02302944504808321,0.007368400487519706,0.0009527974523939411,0.04400451451663563
37,Alabama,Lamar,0.8898212331265961,0.11258664720904779,0.003721269609631521,0.01247719810288216,0.0007296607077708865,0.02116016052535571
38,Alabama,Lauderdale,0.880003754771689,0.11298733807547091,0.013611047372702809,0.012015269404868687,0.0016166378105509085,0.03188426959260727
39,Alabama,Lawrence,0.8350996567712411,0.11338592159932559,0.005720479315951105,0.0954717890046366,0.0009634491479496598,0.028481965436261816
40,Alabama,Lee,0.7210313487080482,0.23936649831556703,0.04859685904421567,0.008480248709707755,0.001831025650954512,0.04047617730523917
